0,1,2
Курортология. Физиотерапия. Лечебная физкультура,https://www.biblio-globus.ru/catalog/index/371,371
Клиническая медицина. Внутренние болезни,https://www.biblio-globus.ru/catalog/index/372,372
Педиатрия,https://www.biblio-globus.ru/catalog/index/373,373
Хирургия. Онкология. Прикладные отрасли медицины,https://www.biblio-globus.ru/catalog/index/374,374
Ветеринария,https://www.biblio-globus.ru/catalog/index/375,375
Домашние животные,https://www.biblio-globus.ru/catalog/index/380,380
Путешествия,https://www.biblio-globus.ru/catalog/index/384,384
Дизайн интерьера. Ремонт,https://www.biblio-globus.ru/catalog/index/6297,6297
Кулинария,https://www.biblio-globus.ru/catalog/index/6302,6302
Рукоделие,https://www.biblio-globus.ru/catalog/index/6308,6308
"Книги о шашках, шахматах, бильярде, картах",https://www.biblio-globus.ru/catalog/index/6318,6318
Настольные игры. Загадки. Ребусы. Головоломки,https://www.biblio-globus.ru/catalog/index/6319,6319
Сад и огород,https://www.biblio-globus.ru/catalog/index/6320,6320
Право. Юридические науки,https://www.biblio-globus.ru/catalog/index/6192,6192
Гражданское право и судопроизводство,https://www.biblio-globus.ru/catalog/index/6194,6194
Интеллектуальное право,https://www.biblio-globus.ru/catalog/index/6196,6196
История государства и права (ИГП),https://www.biblio-globus.ru/catalog/index/6197,6197
Конституционное и муниципальное право,https://www.biblio-globus.ru/catalog/index/6199,6199
"Уголовное право, криминология, криминалистика",https://www.biblio-globus.ru/catalog/index/6201,6201
Международное право (МП),https://www.biblio-globus.ru/catalog/index/6202,6202
Организация судебной и прокурорско-следственной деятельности,https://www.biblio-globus.ru/catalog/index/6204,6204
Интеграционное и европейское право,https://www.biblio-globus.ru/catalog/index/6205,6205
Предпринимательское и корпоративное право,https://www.biblio-globus.ru/catalog/index/6206,6206
Теория государства и права (ТГП),https://www.biblio-globus.ru/catalog/index/6211,6211
Уголовно-процессуальное право,https://www.biblio-globus.ru/catalog/index/6213,6213
Управление и экономика,https://www.biblio-globus.ru/catalog/index/6214,6214
Финансовое право,https://www.biblio-globus.ru/catalog/index/6215,6215
Экологическое и природоресурсное право,https://www.biblio-globus.ru/catalog/index/6216,6216
"Федеральные законы, Нормативно-правовые акты (НПА)",https://www.biblio-globus.ru/catalog/index/6234,6234
Административное право,https://www.biblio-globus.ru/catalog/index/6235,6235
Трудовое право и право социального обеспечения,https://www.biblio-globus.ru/catalog/index/6258,6258
Красота,https://www.biblio-globus.ru/catalog/index/6271,6271
Спорт,https://www.biblio-globus.ru/catalog/index/6279,6279
Здоровье,https://www.biblio-globus.ru/catalog/index/6289,6289
Организация народного образования. Общая педагогика,https://www.biblio-globus.ru/catalog/index/109,109
Дошкольное воспитание. Дошкольная педагогика,https://www.biblio-globus.ru/catalog/index/110,110
Общеобразовательная школа. Школьная педагогика. Внеклассная и внешкольная работа,https://www.biblio-globus.ru/catalog/index/111,111
"Методика преподавания гуманитарных, естественнонаучных, общественных дисциплин",https://www.biblio-globus.ru/catalog/index/112,112
Коррекционная  педагогика. Дефектология. Логопедия,https://www.biblio-globus.ru/catalog/index/116,116
Семейное воспитание. Педагогика семейного воспитания,https://www.biblio-globus.ru/catalog/index/117,117
Букинистическая литература,https://www.biblio-globus.ru/catalog/index/104,104
Классическая и современная проза,https://www.biblio-globus.ru/catalog/index/182,182
Детективы,https://www.biblio-globus.ru/catalog/index/185,185
Фантастика. Фэнтези,https://www.biblio-globus.ru/catalog/index/186,186
Любовные романы. Книги о любви,https://www.biblio-globus.ru/catalog/index/189,189
Поэзия. Драматургия,https://www.biblio-globus.ru/catalog/index/6172,6172
Публицистика. Биографии. Мемуары,https://www.biblio-globus.ru/catalog/index/6175,6175
Исторические романы,https://www.biblio-globus.ru/catalog/index/6180,6180
Приключения,https://www.biblio-globus.ru/catalog/index/6181,6181
Комиксы и манга,https://www.biblio-globus.ru/catalog/index/6182,6182
Юмор,https://www.biblio-globus.ru/catalog/index/6183,6183
Афоризмы. цитаты,https://www.biblio-globus.ru/catalog/index/6184,6184
Фольклор,https://www.biblio-globus.ru/catalog/index/6185,6185
Популярная психология,https://www.biblio-globus.ru/catalog/index/6112,6112
Психология общения,https://www.biblio-globus.ru/catalog/index/6113,6113
Общая психология. История психологии,https://www.biblio-globus.ru/catalog/index/6114,6114
Психология лидерства,https://www.biblio-globus.ru/catalog/index/6115,6115
Психологические школы и направления. Психоанализ,https://www.biblio-globus.ru/catalog/index/6116,6116
Прикладная психология. Соционика. Педагогическая психология,https://www.biblio-globus.ru/catalog/index/6117,6117
Детская психология,https://www.biblio-globus.ru/catalog/index/6118,6118
Коучинг. Тесты. Тренинги,https://www.biblio-globus.ru/catalog/index/6119,6119
Практическая психология. Психотерапия. Консультирование. Гипноз,https://www.biblio-globus.ru/catalog/index/6120,6120
Конфликтология,https://www.biblio-globus.ru/catalog/index/6121,6121
НЛП,https://www.biblio-globus.ru/catalog/index/6122,6122
Бизнес. Торговля,https://www.biblio-globus.ru/catalog/index/6128,6128
Маркетинг,https://www.biblio-globus.ru/catalog/index/6139,6139
Менеджмент. Управление,https://www.biblio-globus.ru/catalog/index/6145,6145
Управление финансами,https://www.biblio-globus.ru/catalog/index/6152,6152
Экономика,https://www.biblio-globus.ru/catalog/index/6156,6156
Бухгалтерия. Налоговый учет. Аудит,https://www.biblio-globus.ru/catalog/index/6163,6163
Общие вопросы,https://www.biblio-globus.ru/catalog/index/2422,2422
Книги по программированию,https://www.biblio-globus.ru/catalog/index/2463,2463
Операционные системы и программы-оболочки,https://www.biblio-globus.ru/catalog/index/2472,2472
Прикладное программное обеспечение,https://www.biblio-globus.ru/catalog/index/2478,2478
Базы и банки данных. СУБД,https://www.biblio-globus.ru/catalog/index/2490,2490
Компьютерные сети. Интернет,https://www.biblio-globus.ru/catalog/index/2496,2496
Защита информации.  Компьютерная безопасность,https://www.biblio-globus.ru/catalog/index/2507,2507
Эзотерическая литература,https://www.biblio-globus.ru/catalog/index/6090,6090
Философия,https://www.biblio-globus.ru/catalog/index/6099,6099
Религия,https://www.biblio-globus.ru/catalog/index/6104,6104
Отдельные философские учения,https://www.biblio-globus.ru/catalog/index/337,337
Социология,https://www.biblio-globus.ru/catalog/index/338,338
История.  Исторические науки,https://www.biblio-globus.ru/catalog/index/341,341
Культура. Средства массовой информации,https://www.biblio-globus.ru/catalog/index/342,342
Политика. Партии и движения,https://www.biblio-globus.ru/catalog/index/343,343
Военная наука.  Военное дело,https://www.biblio-globus.ru/catalog/index/344,344
Статистика. Демография,https://www.biblio-globus.ru/catalog/index/346,346
Филология,https://www.biblio-globus.ru/catalog/index/6330,6330
Естественные науки в целом.  Науковедение,https://www.biblio-globus.ru/catalog/index/348,348
Математика,https://www.biblio-globus.ru/catalog/index/349,349
Механика,https://www.biblio-globus.ru/catalog/index/350,350
Физика,https://www.biblio-globus.ru/catalog/index/351,351
Астрономия,https://www.biblio-globus.ru/catalog/index/352,352
Химические науки,https://www.biblio-globus.ru/catalog/index/353,353
Науки о Земле,https://www.biblio-globus.ru/catalog/index/354,354
Экология,https://www.biblio-globus.ru/catalog/index/355,355
Биологические науки,https://www.biblio-globus.ru/catalog/index/356,356
Технические науки и промышленность в целом,https://www.biblio-globus.ru/catalog/index/357,357
Автоматика. Радиоэлектроника. Связь,https://www.biblio-globus.ru/catalog/index/359,359
Энергетика. Машиностроение. Приборостроение,https://www.biblio-globus.ru/catalog/index/360,360
Горная промышленность. Металлургия,https://www.biblio-globus.ru/catalog/index/361,361
Химическая промышленность. Пищевая промышленность.  Легкая промышленность. Деревообрабатывающая и   целлюлозно-бумажная промышленность. Полиграфия,https://www.biblio-globus.ru/catalog/index/362,362
Транспорт,https://www.biblio-globus.ru/catalog/index/363,363
Строительство,https://www.biblio-globus.ru/catalog/index/364,364
Жилищно-коммунальное хозяйство. Бытовое обслуживание.  Торговля,https://www.biblio-globus.ru/catalog/index/365,365
Сельское хозяйство. Водное хозяйство. Лесное хозяйство. Охотничье хозяйство. Рыбное хозяйство,https://www.biblio-globus.ru/catalog/index/366,366
Фольклор и мифы для детей и юношества,https://www.biblio-globus.ru/catalog/index/202,202
Российская художественная литература для детей и юношества,https://www.biblio-globus.ru/catalog/index/204,204
Зарубежная художественная литература для детей  и юношества,https://www.biblio-globus.ru/catalog/index/205,205
Развивающая и познавательная литература для дошкольников,https://www.biblio-globus.ru/catalog/index/207,207
"Познавательная литература для школьников по  общественным, естественнонаучным и техническим знаниям",https://www.biblio-globus.ru/catalog/index/208,208
"Познавательная литература для школьников по культуре, филологическим наукам, искусству",https://www.biblio-globus.ru/catalog/index/209,209
Литература для детей и юношества универсальной тематики,https://www.biblio-globus.ru/catalog/index/211,211
"Детское творчество, досуг и домоводство",https://www.biblio-globus.ru/catalog/index/213,213
Искусство,https://www.biblio-globus.ru/catalog/index/388,388
Архитектура. Градостроительство,https://www.biblio-globus.ru/catalog/index/389,389
Изобразительное и декоративно-прикладное искусство,https://www.biblio-globus.ru/catalog/index/390,390
Музыка. Нотные издания,https://www.biblio-globus.ru/catalog/index/391,391
Балет. Зрелищные виды искусства,https://www.biblio-globus.ru/catalog/index/392,392
Киноискусство. Фотоискусство,https://www.biblio-globus.ru/catalog/index/393,393
Здравоохранение. Гигиена. Эпидемиология,https://www.biblio-globus.ru/catalog/index/367,367
Фармакология. Лекарствоведение. Токсикология,https://www.biblio-globus.ru/catalog/index/368,368
Общая патология. Общая терапия,https://www.biblio-globus.ru/catalog/index/369,369
Народная медицина. Нетрадиционные методы лечения,https://www.biblio-globus.ru/catalog/index/370,370
Курортология. Физиотерапия. Лечебная физкультура,https://www.biblio-globus.ru/catalog/index/371,371
Клиническая медицина. Внутренние болезни,https://www.biblio-globus.ru/catalog/index/372,372
Педиатрия,https://www.biblio-globus.ru/catalog/index/373,373
Хирургия. Онкология. Прикладные отрасли медицины,https://www.biblio-globus.ru/catalog/index/374,374
Ветеринария,https://www.biblio-globus.ru/catalog/index/375,375
